"plugin","URL for plugin","optionsParam","URL for optionsParam"
"functio ...  })\n  }","file:///opt/src/js/affix.js:119:3:128:3","option","file:///opt/src/js/affix.js:119:19:119:24"
"functio ...  })\n  }","file:///opt/src/js/alert.js:64:3:72:3","option","file:///opt/src/js/alert.js:64:19:64:24"
"functio ...  })\n  }","file:///opt/src/js/button.js:78:3:89:3","option","file:///opt/src/js/button.js:78:19:78:24"
"functio ...  })\n  }","file:///opt/src/js/carousel.js:176:3:188:3","option","file:///opt/src/js/carousel.js:176:19:176:24"
"functio ...  })\n  }","file:///opt/src/js/collapse.js:170:3:180:3","option","file:///opt/src/js/collapse.js:170:19:170:24"
"functio ...  })\n  }","file:///opt/src/js/dropdown.js:130:3:138:3","option","file:///opt/src/js/dropdown.js:130:19:130:24"
"functio ...  })\n  }","file:///opt/src/js/modal.js:292:3:302:3","_relatedTarget","file:///opt/src/js/modal.js:292:27:292:40"
"functio ...  })\n  }","file:///opt/src/js/popover.js:82:3:92:3","option","file:///opt/src/js/popover.js:82:19:82:24"
"functio ...  })\n  }","file:///opt/src/js/scrollspy.js:136:3:145:3","option","file:///opt/src/js/scrollspy.js:136:19:136:24"
"functio ...  })\n  }","file:///opt/src/js/tab.js:118:3:126:3","option","file:///opt/src/js/tab.js:118:19:118:24"
"functio ...  })\n  }","file:///opt/src/js/tooltip.js:494:3:504:3","option","file:///opt/src/js/tooltip.js:494:19:494:24"
"functio ... his\n  }","file:///opt/src/js/transition.js:36:31:43:3","duration","file:///opt/src/js/transition.js:36:41:36:48"
